,t,acc
2286,21.69469230769209,7.9087553
2287,21.70430769230734,8.021067
2288,21.712999999999735,8.068926
2289,21.722615384614983,8.04572
2290,21.73223076923068,8.141432
2291,21.741846153845927,8.27541
2292,21.75146153846117,8.374424
2293,21.76107692307687,8.522592
2294,21.77069230769212,8.658218
2295,21.78030769230736,8.712855
2296,21.78899999999976,8.73773
2297,21.798615384615005,8.841286
2298,21.808230769230704,8.882086
2299,21.81784615384595,9.007474
2300,21.827461538461197,9.000965
2301,21.837076923076893,9.197987
2302,21.846692307691683,9.288296
2303,21.856307692307382,9.297211
2304,21.86499999999978,9.29449
2305,21.874615384615023,9.336198
2306,21.88423076923073,9.403497
2307,21.89384615384597,9.501098
2308,21.90346153846121,9.458567
2309,21.913076923076915,9.444755
2310,21.92269230769216,9.572022
2311,21.932307692307404,9.6545
2312,21.94000000000005,9.691339
2313,21.9496153846153,9.814311
2314,21.959230769231,9.912942
2315,21.968846153846243,10.013238
2316,21.978461538461488,10.0014715
2317,21.988076923077188,10.058395
2318,21.997692307692432,10.093249
2319,22.00730769230813,10.076187
2320,22.01600000000008,10.028513
2321,22.02561538461532,9.8877535
2322,22.03523076923102,9.804498
2323,22.044846153846265,9.8264885
2324,22.05446153846151,9.790673
2325,22.06407692307721,9.794772
2326,22.07369230769245,9.805405
2327,22.0833076923077,9.822519
2328,22.092999999999847,9.770081
2329,22.10261538461509,9.863116
2330,22.11223076923079,9.902095
2331,22.12184615384604,9.898272
2332,22.13146153846128,9.957792
2333,22.14107692307698,9.944496
2334,22.150692307692225,9.96711
2335,22.160307692307924,10.029922
2336,22.16899999999987,10.039265
2337,22.178615384615117,10.181793
2338,22.188230769230813,10.2746105
2339,22.197846153846054,10.403192
2340,22.207461538461303,10.462624
2341,22.217076923077,10.516861
2342,22.226692307692247,10.62396
2343,22.236307692307943,10.68471
2344,22.243999999999687,10.689473
2345,22.25361538461493,10.90293
2346,22.26323076923063,11.076785
2347,22.27284615384588,11.1418495
2348,22.28246153846112,11.312627
2349,22.29207692307682,11.570585
2350,22.301692307692065,11.933024
2351,22.31130769230731,12.101121
2352,22.31999999999971,12.353678
2353,22.329615384614957,12.623171
2354,22.339230769230653,12.89329
2355,22.348846153845894,13.334324
2356,22.358461538460688,13.622253
2357,22.36807692307684,13.939074
2358,22.377692307692087,14.028546
2359,22.38730769230733,14.071201
2360,22.39599999999973,14.059327
2361,22.405615384614972,14.161461
2362,22.415230769230675,14.061272
2363,22.42484615384592,13.959598
2364,22.434461538461164,13.751688
2365,22.444076923076864,13.534196
2366,22.45369230769211,13.265451
2367,22.463307692307357,13.054979
2368,22.471999999999756,12.772375
2369,22.481615384615,12.431806
2370,22.491230769230697,12.111531
2371,22.50084615384594,11.875818
2372,22.510461538461183,11.668001
2373,22.52007692307689,11.462958
2374,22.52969230769213,11.329889
2375,22.53930769230737,11.107383
2376,22.54799999999977,11.101016
2377,22.55761538461502,10.89215
2378,22.56723076923072,10.735154
2379,22.576846153845963,10.436012
2380,22.586461538461208,10.329632
2381,22.596076923076907,10.055892
2382,22.605692307691697,9.832879
2383,22.6153076923074,9.6819
2384,22.6239999999998,9.5714445
2385,22.63361538461504,9.38512
2386,22.64323076923074,9.3213415
2387,22.652846153845985,9.340661
2388,22.66246153846123,9.229917
2389,22.67207692307693,9.203252
2390,22.68169230769217,9.194679
2391,22.69130769230742,9.261915
2392,22.699999999999815,9.22446
2393,22.709615384615063,9.153931
2394,22.71923076923076,9.043415
2395,22.728846153846007,8.923752
2396,22.73846153846125,8.779752
2397,22.74807692307695,8.762784
2398,22.7576923076922,8.742486
2399,22.76730769230744,8.620732
2400,22.77599999999984,8.62406
2401,22.785615384615085,8.608173
2402,22.795230769230784,8.579358
2403,22.80484615384603,8.533364
2404,22.814461538461277,8.496184
2405,22.824076923076973,8.403678
2406,22.833692307692218,8.495472
2407,22.84330769230792,8.366947
2408,22.851000000000116,8.320156
2409,22.86061538461536,8.175412
2410,22.870230769231057,8.041455
2411,22.8798461538463,7.930882
2412,22.889461538461543,7.9804096
2413,22.89907692307725,8.033384
2414,22.90869230769249,8.148286
2415,22.91830769230773,8.131547
2416,22.927999999999884,7.996636
2417,22.93761538461513,7.8755703
2418,22.947230769230828,7.7890997
2419,22.956846153846072,7.5935073
2420,22.96646153846132,7.4726324
2421,22.976076923077017,7.334028
2422,22.98569230769226,7.2107983
2423,22.99530769230796,6.9472017
2424,23.003999999999905,6.7131515
2425,23.01361538461515,6.5952377
2426,23.02323076923085,6.4102983
2427,23.03284615384609,6.401812
2428,23.042461538460884,6.3969636
2429,23.05207692307704,6.328879
2430,23.061692307692283,6.1470766
2431,23.071307692307983,6.128182
2432,23.079999999999927,6.0137277
2433,23.089615384615627,5.942929
2434,23.09923076923087,5.9563193
2435,23.10884615384612,5.937964
2436,23.118461538460902,5.9331326
2437,23.12807692307706,5.873687
2438,23.137692307692305,5.8680506
2439,23.147307692308004,5.922195
2440,23.154999999999745,5.962177
2441,23.16461538461499,6.123451
2442,23.17423076923069,6.101953
2443,23.18384615384593,6.295057
2444,23.19346153846118,6.4215817
2445,23.20307692307688,6.6275463
2446,23.212692307692123,6.6495757
2447,23.222307692307368,6.806125
2448,23.230999999999767,6.9838967
2449,23.24061538461501,7.113659
2450,23.25023076923071,7.3066683
2451,23.25984615384596,7.473948
2452,23.2694615384612,7.6225696
2453,23.2790769230769,7.6713877
2454,23.28869230769169,7.898813
2455,23.29830769230739,7.996091
2456,23.30699999999979,8.09566
2457,23.316615384615037,8.073892
2458,23.326230769230733,8.079216
2459,23.335846153845974,8.053164
2460,23.345461538461223,7.973326
2461,23.35507692307692,7.9141984
2462,23.364692307692167,7.7997136
2463,23.37430769230741,7.851304
2464,23.38400000000001,7.871389
2465,23.393615384615718,7.752162
2466,23.40323076923096,7.779491
2467,23.412846153846203,7.792545
2468,23.422461538460997,7.882059
2469,23.432076923076693,8.000585
2470,23.441692307692392,8.004389
2471,23.45130769230809,8.009946
2472,23.458999999999836,8.114855
2473,23.46861538461508,8.234967
2474,23.478230769230777,8.386203
2475,23.48784615384602,8.445937
2476,23.497461538461263,8.501014
2477,23.50707692307697,8.644271
2478,23.51669230769221,8.808129
2479,23.52630769230745,8.94828
2480,23.53499999999985,8.996376
2481,23.5446153846151,9.0532
2482,23.5542307692308,9.124989
2483,23.563846153846043,9.167245
2484,23.573461538461288,9.13517
2485,23.583076923076987,9.102353
2486,23.592692307692232,9.095787
2487,23.60230769230793,9.0624
2488,23.61099999999988,8.955794
2489,23.62061538461512,8.8905325
2490,23.63023076923082,8.759223
2491,23.639846153846065,8.655254
2492,23.64946153846131,8.579498
2493,23.65907692307701,8.581972
2494,23.66869230769225,8.631831
2495,23.678307692307957,8.69899
2496,23.68599999999969,8.701331
2497,23.69561538461494,8.699196
2498,23.70523076923064,8.716732
2499,23.714846153845883,8.670546
2500,23.724461538461128,8.645939
2501,23.734076923076827,8.54807
2502,23.743692307692072,8.401107
2503,23.75330769230732,8.2756815
2504,23.76199999999972,8.329482
2505,23.77161538461496,8.261518
2506,23.78123076923066,8.196772
2507,23.790846153845905,8.095999
2508,23.80046153846069,8.106117
2509,23.81007692307685,8.229822
2510,23.81969230769209,8.41737
2511,23.82930769230734,8.573945
2512,23.838999999999945,8.610671
2513,23.84861538461564,8.545028
2514,23.85823076923089,8.513032
2515,23.86784615384613,8.548278
2516,23.87746153846092,8.554835
2517,23.887076923077075,8.573052
2518,23.89669230769232,8.520911
2519,23.90630769230802,8.473962
2520,23.914999999999964,8.486125
2521,23.924615384615663,8.515609
2522,23.934230769230908,8.484678
2523,23.943846153846152,8.424659
2524,23.953461538460942,8.587671
2525,23.963076923077097,8.576627
2526,23.97269230769234,8.678395
2527,23.98230769230804,8.669331
2528,23.98999999999978,8.626901
2529,23.999615384615023,8.472963
2530,24.00923076923073,8.474995
2531,24.01884615384597,8.463773
2532,24.02846153846121,8.415973
2533,24.038076923076915,8.384718
2534,24.04769230769216,8.409083
2535,24.057307692307404,8.426551
2536,24.065999999999804,8.522791
2537,24.07561538461505,8.58093
2538,24.085230769230748,8.595074
2539,24.094846153845992,8.568669
2540,24.10446153846124,8.6753235
2541,24.114076923076937,8.642727
2542,24.12369230769218,8.626322
2543,24.133307692307422,8.655055
2544,24.141999999999825,8.705349
2545,24.15161538461507,8.807669
2546,24.16123076923077,8.919694
2547,24.17084615384601,8.939725
2548,24.18046153846126,9.051657
2549,24.19007692307696,9.181289
2550,24.199692307692203,9.189615
2551,24.209307692307448,9.2029505
2552,24.21900000000005,9.141986
2553,24.228615384615296,9.016222
2554,24.238230769230995,8.892003
2555,24.24784615384624,8.855892
2556,24.257461538461484,8.893614
2557,24.267076923077184,8.951895
2558,24.27669230769243,8.940818
2559,24.286307692308128,8.826585
2560,24.29399999999987,8.804971
2561,24.303615384615117,8.823729
2562,24.313230769230813,9.041689
2563,24.322846153846054,9.185532
2564,24.332461538461303,9.270045
2565,24.342076923077,9.192747
2566,24.351692307692247,8.988505
2567,24.361307692307943,8.8357
2568,24.36999999999989,8.783183
2569,24.379615384615136,8.722959
2570,24.389230769230835,8.644462
2571,24.39884615384608,8.489751
2572,24.408461538461324,8.414689
2573,24.418076923077024,8.352653
2574,24.42769230769227,8.320532
2575,24.437307692307968,8.2969055
2576,24.445999999999916,8.185449
2577,24.45561538461561,8.082871
2578,24.465230769230857,7.983484
2579,24.4748461538461,7.9488425
2580,24.48446153846089,7.9430804
2581,24.49407692307705,8.011404
2582,24.50369230769229,8.051385
2583,24.51330769230799,8.049055
2584,24.52199999999993,8.148866
2585,24.531615384615638,8.363568
2586,24.54123076923088,8.482987
2587,24.550846153846123,8.556333
2588,24.560461538460917,8.607811
2589,24.570076923077067,8.650103
2590,24.579692307692312,8.731956
2591,24.58930769230801,8.820271
2592,24.596999999999756,8.7633505
2593,24.606615384615,8.742685
2594,24.616230769230697,8.841188
2595,24.62584615384594,9.13449
2596,24.635461538461183,9.383489
2597,24.64507692307689,9.364239
2598,24.65469230769213,9.257401
2599,24.66430769230737,9.1172695
2600,24.673999999999975,8.918293
2601,24.68361538461568,8.7945175
2602,24.69323076923092,8.647474
2603,24.702846153846167,8.453125
2604,24.71246153846096,8.117037
2605,24.72207692307711,7.8656306
2606,24.73169230769236,7.6416593
2607,24.74130769230805,7.502861
2608,24.75,7.479556
2609,24.7596153846157,7.395087
2610,24.769230769230944,7.351588
2611,24.77884615384619,7.371916
2612,24.78846153846098,7.4128776
2613,24.79807692307668,7.4227676
2614,24.807692307692378,7.4045196
2615,24.81730769230808,7.6586103
2616,24.826000000000025,7.6195927
2617,24.83561538461572,7.6150675
2618,24.84523076923097,7.5650105
2619,24.85484615384621,7.6329045
2620,24.864461538461,7.5718436
2621,24.8740769230767,7.4866676
2622,24.8836923076924,7.346494
2623,24.8933076923081,7.1853156
2624,24.90099999999984,7.096089
2625,24.910615384615085,6.9843774
2626,24.920230769230784,6.770722
2627,24.92984615384603,6.6041884
2628,24.939461538461277,6.397704
2629,24.949076923076973,6.2694416
2630,24.958692307692218,6.3923984
2631,24.96830769230792,6.489633
2632,24.97699999999986,6.5329566
2633,24.986615384615103,6.4324994
2634,24.99623076923081,6.574941
2635,25.00584615384605,6.781132
2636,25.01546153846129,6.930227
2637,25.025076923076995,7.0656505
2638,25.03469230769224,7.314383
2639,25.04430769230794,7.4533405
2640,25.054000000000087,7.5264
2641,25.06361538461533,7.567446
2642,25.07323076923103,7.552715
2643,25.08284615384628,7.5135536
2644,25.09246153846152,7.4691925
2645,25.10207692307722,7.3174963
2646,25.11169230769292,7.2072687
2647,25.12130769230771,7.1382933
2648,25.13000000000011,6.9930325
2649,25.139615384615357,6.902428
2650,25.149230769231053,6.828098
2651,25.158846153846294,6.758952
2652,25.168461538461543,6.710534
2653,25.17807692307724,6.719606
2654,25.187692307692487,6.7808127
2655,25.19730769230773,6.8038645
2656,25.204999999999927,6.959558
2657,25.214615384615627,7.08377
2658,25.22423076923087,7.2483687
2659,25.23384615384612,7.395189
2660,25.243461538460902,7.555259
2661,25.25307692307706,7.6584463
2662,25.262692307692305,7.862039
2663,25.272307692308004,7.9734936
2664,25.28099999999995,8.06139
2665,25.29061538461565,8.160229
2666,25.300230769230893,8.147977
2667,25.309846153846134,8.202967
2668,25.319461538460928,8.194694
2669,25.32907692307708,8.148475
2670,25.338692307692327,8.216868
2671,25.348307692308023,8.267896
2672,25.35699999999997,8.442313
2673,25.36661538461567,8.471709
2674,25.376230769230915,8.621786
2675,25.38584615384616,8.732887
2676,25.39546153846095,8.962829
2677,25.405076923077104,8.995013
2678,25.41469230769235,9.0993
2679,25.424307692308048,9.120784
2680,25.432999999999996,9.235074
2681,25.44261538461569,9.264027
2682,25.452230769230937,9.2877655
2683,25.46184615384618,9.212571
2684,25.47146153846097,9.219396
2685,25.48107692307713,9.220108
2686,25.49069230769237,9.218022
2687,25.50030769230807,9.297616
2688,25.50900000000001,9.38416
2689,25.518615384615718,9.530451
2690,25.52823076923096,9.685822
2691,25.537846153846203,9.714703
2692,25.547461538460997,9.787018
2693,25.557076923076693,9.806406
2694,25.566692307692392,9.766973
2695,25.57630769230809,9.725674
2696,25.58500000000004,9.672367
2697,25.59461538461528,9.67018
2698,25.60423076923098,9.616537
2699,25.613846153846225,9.602142
2700,25.62346153846147,9.517042
2701,25.63307692307717,9.561072
2702,25.64269230769241,9.622897
2703,25.652307692308117,9.913919
2704,25.661000000000055,10.188873
2705,25.670615384615303,10.298079
2706,25.680230769231,10.547441
2707,25.689846153846247,10.963494
2708,25.69946153846149,11.228291
2709,25.70907692307719,11.58354
2710,25.71869230769244,12.015867
2711,25.72830769230768,12.424894
2712,25.73599999999988,12.765765
2713,25.74561538461512,13.037861
2714,25.75523076923082,13.414249
2715,25.764846153846065,13.899087
2716,25.77446153846131,14.068532
2717,25.78407692307701,14.148701
2718,25.79369230769225,14.237794
2719,25.803307692307957,14.317996
2720,25.811999999999895,14.372304
2721,25.821615384615143,14.507166
